id,question,answer,condition,medical_specialty,question_type
544,"Faz 4 meses que faço tratamento com psicologo e ainda não obtive melhora sobre compulsão alimentar, as vezes acho que essa compulsão não tem fim, tenho medo de viciar em medicamentos...O que devo fazer?","O tratamento para compulsão alimentar, deve envolver também o tratamento com Nutricionista para desenvolvimento de atividades de educação nutricional e equilíbrio nutricional em conjunto com a terapia psicológicapsiquiátrica.",Compulsão alimentar,Nutricionista,Tratamento
545,"Faz 4 meses que faço tratamento com psicologo e ainda não obtive melhora sobre compulsão alimentar, as vezes acho que essa compulsão não tem fim, tenho medo de viciar em medicamentos...O que devo fazer?","Ola,o tratamento da compulsão alimentar tem 3 principais objetivos:- Interromper os episódios de comer compulsivo( sem freio)- Controle e perda de peso- Melhora da qualidade de vida e do prazer na alimentação.Para isso, existem uma série de ferramentas que apresentam eficácia comprovada: psicoterapia, acompanhamento nutricional, ténicas de MindfulEating ( ténicas de meditação associadas à alimentação).O uso de medicações faz parte, sim, das ferramentas de tratamento. É importante sabermos que a imensa maioria das medicações utilizadas não tem o potencial de causar dependência e que o tratamento medicamentoso é por um tempo determinado, visando facilitar os outros treinos e diminuir o sofrimento.Assim, consulte seu médico psiquiatra e entenda as opções existentes. Elas existem e podem ajudar muito.",Compulsão alimentar,Psiquiatra,Tratamento
546,"Faz 4 meses que faço tratamento com psicologo e ainda não obtive melhora sobre compulsão alimentar, as vezes acho que essa compulsão não tem fim, tenho medo de viciar em medicamentos...O que devo fazer?","Olá, as compulsões podem ser observadas enquanto sintoma e não como o problema em si, dessa forma o processo terapêutico pode ajudar a entrar em contato com as questões que desencadeiam tais sintomas. Esse é um processo de médio a longo prazo, para que o paciente possa se sustentar nesse processo é indicado um trabalho multidisciplinar, que envolve além do psicólogo, também nutricionistas e médicos. Em relação a sua preocupação com os medicamentos, deve-se conversar sobre isso com os profissionais. Por fim, acredito que se a causa do sintoma for trabalhada em terapia não haverá substituição da compulsão alimentar pela compulsão por medicamentos.",Compulsão alimentar,Psicólogo,Tratamento
547,"Faz 4 meses que faço tratamento com psicologo e ainda não obtive melhora sobre compulsão alimentar, as vezes acho que essa compulsão não tem fim, tenho medo de viciar em medicamentos...O que devo fazer?","Seria de interesse conversar com seu psicólogo sobre esse fator e juntos, reavaliarem a questão do tempo, resultados, até para realinhar suas expectativas quanto a sua evolução e melhora. Também é importante ter um trabalho interdisciplinar, envolvendo avaliação de um nutricionista e até um psiquiatra. Entendo seu medo quanto a dependência de medicamentos, contudo em alguns casos a medicação fará parte do tratamento por um período. Essas questões são especificas de paciente para paciente, por isso é muito importante o dialogo com seu psicólogo.",Compulsão alimentar,Psicólogo,Tratamento
548,"Faz 4 meses que faço tratamento com psicologo e ainda não obtive melhora sobre compulsão alimentar, as vezes acho que essa compulsão não tem fim, tenho medo de viciar em medicamentos...O que devo fazer?",No tratamento da compulsão alimentar é fundamental identificar quais são os gatilhos para ela ocorrer. Os desencadeadores de um episódio de compulsão alimentar podem ser alimentares eou emocionais. Um nutricionista especializado neste tipo de quadro poderá auxiliá-la a identificar o que está te levando a se descontrolar com a comida.,Compulsão alimentar,Nutricionista,Tratamento
549,"Faz 4 meses que faço tratamento com psicologo e ainda não obtive melhora sobre compulsão alimentar, as vezes acho que essa compulsão não tem fim, tenho medo de viciar em medicamentos...O que devo fazer?","O tratamento por causa da compulsão alimentar não é um tratamento tão simples, haja visto que na maioria das vezes é preciso identificar as crenças que estão por tras desse comportamento, os gatilhos, as emoções presentes, outras fontes de prazer do cliente, além do quê, o ato de comer nem sempre se trata de alimentar o corpo mas é um ato social e está inserido na cultura. Além disso, temos muitos hábitos (maus hábitos) que incluem o comer. Muitas vezes é necessário que o trabalho seja multidisciplinar, envolvendo psiquiatra e nutricionistanutrólogo. Pode ser demorado mas penso que vale a pensa investir um pouco mais. Quaisquer dúvidas, estou à disposição.",Compulsão alimentar,Psicólogo,Tratamento
550,"Faz 4 meses que faço tratamento com psicologo e ainda não obtive melhora sobre compulsão alimentar, as vezes acho que essa compulsão não tem fim, tenho medo de viciar em medicamentos...O que devo fazer?","Eu trabalho com um protocolo chamado MBRP (prevenção de recaída baseada em mindfulness) que é um programa de 8 semanas de duração que integra práticas de meditação mindfulness e prevenção de recaída tradicional.. Um dos efeitos mais significativos da prática de mindfulness é ampliar a capacidade de observar o processo contínuo da experiência sem ao mesmo tempo se ligar ou se identificar com o conteúdo de cada pensamento, sentimento ou imagem. Quando adquirimos esta habilidade pela prática regular da meditação, podemos conseguir nos desligar da atração dos impulsos, compulsões ou racionalizações cognitivas. Esse programa à complementar às práticas de psicoterapia e medicina.",Compulsão alimentar,Psicólogo,Tratamento
551,"Faz 4 meses que faço tratamento com psicologo e ainda não obtive melhora sobre compulsão alimentar, as vezes acho que essa compulsão não tem fim, tenho medo de viciar em medicamentos...O que devo fazer?","Olá, primeiro é importante saber se a sua compulsão é de um nível baixo, moderado ou alto. As compulsões de nível baixo podem ser resolvidos somente com um psicólogo, mas quererem tempo e paciência para a cura. Já o procedimento para a compulsão alimentar, moderada e alta, requer um tratamento multidisciplinar, isto é, o acompanhamento de mais de um profissional, que neste caso seriam: um psicólogo e um psiquiatra. O primeiro irá tratar das causas emocionais que te fizeram desenvolver e estar até hoje com essa doença. Já o segundo irá te receitar medicamentos que tratarão dos sintomas físicos. Somente com essas duas ajudas é possível se curar da compulsão alimentar em níveis altos e moderados.",Compulsão alimentar,Psicólogo,Tratamento
552,"Faz 4 meses que faço tratamento com psicologo e ainda não obtive melhora sobre compulsão alimentar, as vezes acho que essa compulsão não tem fim, tenho medo de viciar em medicamentos...O que devo fazer?","É preciso ter calma para ajustar a medicação . Eu sugiro que você faça também um acompanhamento Nutricional, existem muitos alimentos que ajudam a controlar sua ansiedade. Um bom Plano Alimentar irá te ajudar muito. Inicie uma prática regular de exercícios físicos. Essa liberação de hormônios irá te ajudar muito! Fico à disposição para quaisquer esclarecimentos! um abraço Tais Rímoli, Nutricionista e Personal Trainer",Compulsão alimentar,Nutricionista,Tratamento
553,"Faz 4 meses que faço tratamento com psicologo e ainda não obtive melhora sobre compulsão alimentar, as vezes acho que essa compulsão não tem fim, tenho medo de viciar em medicamentos...O que devo fazer?","À princípio, os medicamentos usados no tratamento para compulsão alimentar, como os antidepressivos, eles não tem a propriedades dependência química. Sugiro também que busque um psicoterapeuta na abordagem cognitivo-comportamental.",Compulsão alimentar,Psicólogo,Tratamento
554,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?","Sou especlalista em transtornos de ansiedade e faça uma psicoterapia para minimizar seu sofrimento, assim você irá perceber o que está digerindo tanto que ñao está dando conta de controlar.Atenciosamente!Monica Araújo!",Compulsão alimentar,Psicólogo,Estilo de vida saudável
555,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?","Tenho trabalhado com EMDR, uma nova abordagem em terapia, que tem surtido bons resultados em relação a alguns problemas psicológicos. Nessa abordagem desenvolve uma técnica que dessensibiliza alguns comportamentos disfuncionais e ao mesmo tempo proporciona a ativação de outros positivos. O EMDR tem sido uma das terapias que obteve aprovação dos institutos americanos de saúde pelo alto grau de resolução. Os psicólogos que atendem nessa abordagem tem certificação do Instituto EMDR Brasil com treinamento para utilizar a técnica. Boa sorte...",Compulsão alimentar,Psicólogo,Estilo de vida saudável
556,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?","O que me parece é que você tem dificuldade de se controlar na hora de comer, come muito mais do que precisava ou pretendia e depois sente a culpa por ter se excedido, não é? Pode haver muitas questões por trás disso, ligadas ao afeto. Comer pode ser um prazer, mas às vezes podemos usar esse prazer para esconder ou disfarçar problemas que estamos vivendo.Procure um psicólogo de confiança, bem indicado, na sua região. A terapia pode te ajudar a descobrir o que está por trás da dificuldade em se controlar com a comida e a trabalhar essa culpa.Um abraço e boa sorte!",Compulsão alimentar,Psicanalista,Estilo de vida saudável
557,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?","Escolher alimentos que provocam maior saciedade, acompanhamento psicológico e nutricional e enfrentar momentos de fissura e frustração são estratégias da terapia cognitivo comportamental para esses casos. Avalie componente familiar e genetico, pois podem influenciar nisso tudo. Estimo melhoras!! Abraço, Alessandro - Psicólogo, Recife.",Compulsão alimentar,Psicólogo,Estilo de vida saudável
558,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?","Provavelmente você sofra de ansiedade. Procure um psicólogo de sua confiança para trabalhar as suas questões. Procure também o nutricionista para ser avaliado e fazer uma reeducação alimentar. E tente fazer alguma atividade física, de preferência, a que você mais goste.Um bom tratamento.",Compulsão alimentar,Psicólogo,Estilo de vida saudável
559,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?","O transtorno de Compulsão Alimentar se desenvolve em meio a situações estressantes e de ansiedade. Para modificar esse hábito ruim, seria importante associar o tratamento de um Psicólogo com um Nutricionista. O Nutricionista poderá desenvolver um Plano Alimentar com alto fracionamento de refeições com baixa densidade calórica e volume reduzido, para diminuir a ansiedade. No entanto é muito importante que se associe a alimentação prescrita com a psicoterapia!",Compulsão alimentar,Nutricionista,Estilo de vida saudável
560,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?","Normalmente distúrbios alimentares estão ligados ao seu emocional, algo que esta te faltando e você compensa em um comportamento compulsivo oral, por exemplo, alguns fumam, outros comem, então o melhor é procurar uma psicoterapia para identificar suas necessidades emocionais e saber lidar com ela. A mudança de comportamento associada a terapia seria o melhor, então um profissional que segue a linha comportamental te daria bons resultados.",Compulsão alimentar,Psicólogo,Estilo de vida saudável
561,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?",Questão digna de análise. Seria muito importante você procurar um profissional psicanalista que possa analisar isso de você.AttDanilo Alves da Cruz,Compulsão alimentar,Psicanalista,Estilo de vida saudável
562,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?","1) Uma das coisas que você deve fazer é procurar um psicólogo de preferência cognitiva comportamental.2) Leia o livro Pense magro, vai te ajusar entender melhor a sua funcionalidade.3) Pratique um esporte que se identificar.",Compulsão alimentar,Psicólogo,Estilo de vida saudável
563,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?","Comer não parece desempenhar um papel significativo enquanto fonte de prazer e está mais associado à ideia de hiperatividade motora. Portanto, não é o alimento em si que caracteriza a compulsão. O alimento é um objeto externo. O que caracteriza a compulsão é o ato. Poderia ser outro objeto como, por exemplo, uma droga. O importante é pensar no comportamento como adição, seja por comida, por drogas ilícitas ou lícitas, como o álcool, tabaco ou psicofármacos, enfatizando a dimensão do impulso do comportamento e quais os mecanismos psíquicos que entram em jogo no ato de comer.",Compulsão alimentar,"Psicanalista, Psicólogo",Estilo de vida saudável
564,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?","As questões com alimentação como muitas outras compulsões, podem ser pensadas em qual significado tem a comida na sua vida.Um processo psicoterapeutico pode te ajudar a reconhecer esse significado e trabalhar as questões que são gatilhos para comer.A partir de então, vai ser importante também um acompanhamento com nutricionista, nutróloga, ou outro profissional que trabalha com essa temática.",Compulsão alimentar,Psicólogo,Estilo de vida saudável
565,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?","Primeiramente, aconselho a buscar ajuda de psicoterapia já que vemos que existe algo que esta além da sua compreensão do que leva você a comer compulsivamente. Entender qual é sua relação com a comida é um fator fundamental para que este quadro possa mudar.",Compulsão alimentar,"Psicanalista, Psicólogo",Estilo de vida saudável
566,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?","Bom dia!Reavaliar hábitos e costumes, qual a sensação que tem ao ingerir o alimento e quais as consequências é um bom caminho para entender a sua forma de funcionamento.Vale a pena resgatar a sua estória de vida e a importância do alimento nela.Recomendo iniciar um processo de Psicoterapia para autoconhecimento para auto gestão de seus hábitos alimentares entre outros, pois deve ter outros que v também faz da mesma forma.Abraços",Compulsão alimentar,Psicólogo,Estilo de vida saudável
567,"Tenho esse problema, quanto mais como mas vontade sinto, depois fico arrependida, o que devo fazer?","A psicologia é um suporte essencial e a Nutrição também pode auxiliar. No entanto, acredito que o uso de dietas seja o menos recomendável. Terapias como a meditação de atenção plena (mindfulness) também tem efeitos muito positivos para pessoas com compulsão.",Compulsão alimentar,Nutricionista,Estilo de vida saudável
568,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?","Olá. Sugiro que busque ajuda de um psicólogo. A terapia poderá auxilia-la a descobrir os motivos da sua ansiedade e como controlá-la. Muito provavelmente a comida está ocupando o lugar de algo que deseja mas não consegue obter. O caminho é adquirir confiança em você mesma, valorizar seus talentos e ter calma suficiente para produzir os resultados que deseja. Faça isso e seja feliz.",Compulsão alimentar,Psicólogo,Tratamento
569,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?","Olá, que terapia você deve fazer é algo muito particular, pois você deve de antemão sentir a afinidade ao psicólogo. Pois tem-se várias vertentes de terapias e abordagens. No entanto o psicólogo estará apto para te acolher e entender junto a você o motivo de tanta angustia, auxiliará a controlar a compulsão alimentar e por consequência ter um sono de qualidade.1. Observe suas angustias e pense sobre elas 2. O que te deixa talvez, ansiosa? 3. Sentimento de falta, tem sido corriqueiro nos seus dias?Pense sobre, e cuide-se.",Compulsão alimentar,Psicólogo,Tratamento
570,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?","Chamamos de gula ao ímpeto sôfrego para comer eou beber, em geral como expressão de ganho (poder) ou prazer, geralmente associado à um impulso irrefreável para uma ação contrária à vontade, com a finalidade de lograr alívio. O entendimento de que nem tudo que dá poder ou prazer nos irá realizar como pessoa é um passo muito importante para que possamos considerar a importância de promovermos a emergência de novas aptidões e realização de novas potencialidades. O homem nasce incompleto e para ultrapassar-se continuamente, há que canalizar, aplicar e investir sua energia (libido) criativa diante dos fenômenos e experiências da existência. Sugiro uma terapia que ajude-a a investigar essas novas aptidões e potencialidades, que irá com certeza ajudá-la no desenvolvimento da desejada sobriedade alimentar.",Compulsão alimentar,"Psicanalista, Psiquiatra",Tratamento
571,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?",Ola! Penso que a Terapia Cognitivo Comportamental poderia te ajudar nesse momento de bastante ansiedade. Ela te ajudaria a diminuir o estresse e a encontrar as possiveis causas que te levam a esse estado. Estou a disposiçao. Grande abraço.,Compulsão alimentar,Psicólogo,Tratamento
572,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?",Olá. Seria interessante você procurar um bom psicanalista a fim de compreender o que te leva a comer sem ter fome. Quando antes você se sentiu assim na vida? Como foram suas relações com a comida durante a vida? Tudo isso deve ser investigado cautelosamente para te ajudar. Espero ter te ajudado um pouco. Não hesite em procurar ajuda.,Compulsão alimentar,"Psicanalista, Psicólogo",Tratamento
573,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?","Você precisa de ajuda para voltar à sua essência, voltar a sentir autoconfiança e resgatar seu amor próprio. Quanto mais pensar em restringir a alimentação, mais terá compulsão. É preciso parar de fazer dieta, aprender a ouvir o seu corpo e se alimentar adequadamente. Gradualmente o corpo vai voltando a um peso saudável.",Compulsão alimentar,Nutricionista,Tratamento
574,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?","Olá! Além da terapia, fundamental no processo, te recomendaria procurar uma nutricionista com experiência na área de transtornos alimentares. Como a colega nutricionista colocou muito bem, é importante olhar pra dentro e ouvir o que o seu corpo diz. E hoje a Nutrição entende que o comportamento alimentar é fundamental para o sucesso do tratamento (sem querer invadir, mas sim convergir com o trabalho do psicólogo).",Compulsão alimentar,Nutricionista,Tratamento
575,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?",Qualquer caminho terapêutico pode te ajudar desde que você sinta empatia e confie no profissional que irá atendê-la! O caminho que eu sugiro é o que eu conheço: psicanálise.,Compulsão alimentar,"Psicanalista, Psicólogo",Tratamento
576,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?","Olá! Vc precisa passar por um processo psicoterapêutico onde vc entenda o significado do alimento, onde vc identifique suas crenças em relação a comida e outras áreas de sua vida. Terapia cognitiva é uma abordagem que poderá ajudá-la num período menor. Um Grande Abraço.",Compulsão alimentar,Psicólogo,Tratamento
577,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?",Eu indicaria a terapia cognitiva comportamental... assim vc poderá fazer uma reestrutura em relação a sua ansiedade e essa coisa de comer sem ter vontade... tem os q avaliar o q esta desencadeando esse processo... pode se tb ir em busca de um profissional em q possa sugerir exames de sangue hormonais... entre outro para ter uma avaliação orgânica... mas a terapia essencial... um grande abraço me deixo a disposição.,Compulsão alimentar,"Psicólogo, Terapeuta complementar",Tratamento
578,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?","Olá! Dependendo da avaliação o tratamento será direcionado tanto para fatores físicos como emocionais. Muitas vezes a maneira como a pessoa lida com a comida pode estar associado ao stress. Sugiro q busques a avaliação de um profissional, para que juntos combinem o tratamento adequado para o seu caso. Um abraço",Compulsão alimentar,Psicólogo,Tratamento
579,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?","Olá hoje temos na Nutrição muitos tratamentos para diminuir a vontade de comer comendo adequadamente nos horários certos e o tipo de alimentos adequados, lançamos mão do tratamento mindifulness, plano alimentar personalizado suplementação clinica e de fitoterápicos, e claro uma acompanhamento psicológico tambem é necessário!",Compulsão alimentar,Nutricionista,Tratamento
580,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?","Muito prazer! Percebo e acolho sua pergunta com muito amor.Sugiro escolher alguns profissionais (psicólogos) e ir, acredite, a terapia que funciona é aquela que há empatia, que você confie e principalmente que você de fato, queira. Não existe melhor ou pior, todas tem seu valor e é por isso, que estamos aqui.Além disso, que busque um endocrinologista, pois ele solicitará alguns exames que também poderão apontar se seu organismo está funcionando corretamente e colaborará com sua saúde, bem estar e equilíbrio.Deixo o convite para vir me conhecer.Abraço fraterno.",Compulsão alimentar,Psicólogo,Tratamento
581,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?","Olá!Acho que a psicoterapia pode te ajudar, sim! Não acredito que você precise procurar uma determinada linha para te ajudar. Um bom psicoterapeuta que trabalhe com transtorno alimentar pode te auxiliar nesse trabalho. A obesidade pode ser considerada uma doença e você pode encontrar as causas num trabalho psicoterápico. Eu trabalho com psicanálise e vejo bons resultados. Mas a escolha deve ser sua!Abraço",Compulsão alimentar,"Psicanalista, Psicólogo",Tratamento
582,"Nao consigo emagrecer, quero comer a todo tempo, estou angustiada por isso, de 50 kilos fui para 86 me sinto angustiada, nao consigo dormir, fico com vontade de comer sem ter fome. que terapia devo fazer?","Busque ajuda de um terapeuta, de um Nutricionista para melhorar a qualidade de sua alimentação para auxiliá-la no emagrecimento e na melhora de sua sensação de bem estar e disposição e procure um professor de educação física para ajustar um rotina de exercícios pois lhe ajudará muito! Fico à disposição para quaisquer esclarecimentos! um abraço Tais Rímoli, Nutricionista e Personal Trainer",Compulsão alimentar,Nutricionista,Tratamento
583,"A compulsão alimentar é considerada uma doença? pq consultei um psiquiatra e ele me disse que eu sofria de transtorno de ansiedade e não de compulsão, agora estou confusa. Posso ter os dois? Eles estão relacionados? Quais as diferenças?","Olá. O que seu médico quis dizer é que: o que provavelmente você chama de compulsão alimentar tem causa na sua possível ansiedade. Transtornos de ansiedade levam a pessoa a procurar caminhos de fuga e alivio e em alguns casos pode acentuar o desejo por comida. Sugiro que você pesquise esta possibilidade. Faça uma observação sobre seus comportamentos, pensamentos e atitudes frente ao desejos e metas. Sintomas de ansiedade podem ser disparados por falta de segurança, medos frente a possíveis desafios ou outras dificuldades. Um acompanhamento terapêutico pode ajuda-la a descobrir estes sintomas causas e contribuir para a solução. Tente e seja feliz.",Compulsão alimentar,Psicólogo,Diagnóstico
584,"A compulsão alimentar é considerada uma doença? pq consultei um psiquiatra e ele me disse que eu sofria de transtorno de ansiedade e não de compulsão, agora estou confusa. Posso ter os dois? Eles estão relacionados? Quais as diferenças?","O transtorno de compulsão alimentar existe e o seu diagnóstico descreve, principalmente, os comportamentos envolvidos ao se alimentar (como, onde, quanto, etc.). A ansiedade também pode se manifestar em comportamentos alimentares, principalmente quando a pessoa deixa de perceber ou sentir o desconforto anterior se estiver comendo. No entanto, ela age mais como um fator motivacional para o comer. Existem características, às vezes sutis, que permitem diferenciar a compulsão alimentar da ansiedade que leva a consumir alimentos, mas o diagnóstico diferencial precisa ser cauteloso. Os dois também podem ocorrer juntos. As estratégias terapêuticas sobre cada um desses transtornos são diferentes e podem eventualmente ser combinadas (no caso dos dois transtornos ocorrerem juntos), mas é muito importante avaliar todos os comportamentos associados para se estabelecer uma hipótese diagnóstica mais precisa.",Compulsão alimentar,Psicólogo,Diagnóstico
585,"A compulsão alimentar é considerada uma doença? pq consultei um psiquiatra e ele me disse que eu sofria de transtorno de ansiedade e não de compulsão, agora estou confusa. Posso ter os dois? Eles estão relacionados? Quais as diferenças?","Sim, a compulsão alimentar é uma doença. Ao falar de transtorno de ansiedade, o psiquiatra pode ter lançado luz para a causa da compulsão. Portanto, é possível estabelecer um nexo causal entre compulsão e ansiedade. A diferença está no fato de que a ansiedade é um afeto comum aos seres humanos e não pode ser extirpado, mesmo quando transtorna. É possível descobrir em análise as causas da ansiedade, o que pode diminuir sua intensidade e os transtornos que dela advém. A compulsão, por sua vez, sempre está relacionada à repetição de algo à revelia do sujeito. Ele(a) não quer repetir o que lhe causa sofrimento, mas quando vê está fazendo novamente aquilo que não quer. No caso da compulsão alimentar, podemos ligar o excesso de comida à vontade de preencher uma sensação de vazio que não cessa de se fazer presente. Por esse motivo, é mais adequado relacionar a compulsão à angústia, afeto ligado a falta em ser própria dos seres falantes. A compulsão seria tentativa malograda de tapar o vazio.",Compulsão alimentar,Psicanalista,Diagnóstico
586,"A compulsão alimentar é considerada uma doença? pq consultei um psiquiatra e ele me disse que eu sofria de transtorno de ansiedade e não de compulsão, agora estou confusa. Posso ter os dois? Eles estão relacionados? Quais as diferenças?","Compulsão alimentar é uma doença em que a pessoa sente uma necessidade de comer mesmo quando ela está satisfeita. A pessoa ingere grandes quantidades de comida em pouco tempo e está sim ligada a ansiedade. Neste caso a comida entra como uma forma de compensação de algum gatilho emocional ou estresse que a pessoa apresente, descontando na comida. Os dois podem ocorrer juntos. Sugiro que busque avaliação do psicólogo para melhor definir os sintomas que você apresenta e a intervenção terapêutica mais eficaz em cada caso.",Compulsão alimentar,Psicólogo,Diagnóstico
587,"A compulsão alimentar é considerada uma doença? pq consultei um psiquiatra e ele me disse que eu sofria de transtorno de ansiedade e não de compulsão, agora estou confusa. Posso ter os dois? Eles estão relacionados? Quais as diferenças?","Atualmente, os transtornos alimentares são de natureza multifatorial , ou seja , envolve fatores genéticos , pressões socioculturais e psicopatológico . É um distúrbio persistente do comportamento alimentar ou comportamento voltado p controlar o peso q prejudica de maneira significativa a saúde física ou o funcionamento social.",Compulsão alimentar,Psicólogo,Diagnóstico
588,"A compulsão alimentar é considerada uma doença? pq consultei um psiquiatra e ele me disse que eu sofria de transtorno de ansiedade e não de compulsão, agora estou confusa. Posso ter os dois? Eles estão relacionados? Quais as diferenças?","Olá ...Seu médico falou isso, porquê geralmente a COMPULSÃO está relacionada a ansiedade. (Não só a ansiedade ,mas também à outras questões de busca de satisfação, por vezes inconsciente de algo que até mesmo você desconhece) ..",Compulsão alimentar,"Psicanalista, Psicólogo",Diagnóstico
589,"A compulsão alimentar é considerada uma doença? pq consultei um psiquiatra e ele me disse que eu sofria de transtorno de ansiedade e não de compulsão, agora estou confusa. Posso ter os dois? Eles estão relacionados? Quais as diferenças?","Comer exageradamente mesmo sem estar com fome ou passar mal de tanto comer, são sintomas do TCA (Transtorno de Compulsão Alimentar), principalmente se esses episódios ocorrerem repetidamente.A presença de sintomas depressivos e ansiosos costuma ocorrer simultaneamente em pacientes portadores de Transtorno de Compulsão Alimentar.É preciso buscar ajuda médica e psicológica a partir do momento em que percebe-se que há algo errado, quando a comida não é apenas um meio de se alimentar, mas ao contrário, é algo do qual você se torna dependente e se sente angustiado, precisando comer para curar momentaneamente essa angustia.Além o médico e do psicólogo, é importante também procurar um nutricionista para fazer uma reeducação alimentar, e fazer exercícios físicos.",Compulsão alimentar,Psicólogo,Diagnóstico
590,"A compulsão alimentar é considerada uma doença? pq consultei um psiquiatra e ele me disse que eu sofria de transtorno de ansiedade e não de compulsão, agora estou confusa. Posso ter os dois? Eles estão relacionados? Quais as diferenças?","Olá. Existe o transtorno de compulsão alimentar sim e existe também episódios de compulsão alimentar que podem ocorrer também no transtorno de ansiedade. O que caracteriza como transtorno ou não, é a frequência que ocorre esses episódios. De qualquer forma te indico buscar também um atendimento psicológico, mais especificamente um terapeuta cognitivo-comportamental, pois irá te ajudar tanto com a ansiedade quanto com a compulsão alimentar.Um abraço!",Compulsão alimentar,Psicólogo,Diagnóstico
591,"A compulsão alimentar é considerada uma doença? pq consultei um psiquiatra e ele me disse que eu sofria de transtorno de ansiedade e não de compulsão, agora estou confusa. Posso ter os dois? Eles estão relacionados? Quais as diferenças?","É um transtorno sim. E pode estar acompanhado de ansiedade também.Dependendo do caso, um leva a outro. A boa notícia é que tem tratamento. E algumas mudanças nos hábitos diários ajudam. Também a regulação emocional com psicoterapia ajuda nesse processo de melhora ou até ter um bom controle dos sintomas.",Compulsão alimentar,Terapeuta complementar,Diagnóstico
592,"COMO COMPULSIVAMENTE A NOITE, DURANTE O DIA ESTOU NO TRABALHO CONSIGO CONTROLAR, QUANDO CHEGO EM CASA COMEÇO A COMER, QUANTO MAIS EU COMO MAS SINTO VONTADE DE COMER, Qual tratamento devo procurar?","Investigar sobre essa vontade de comer é algo a ser considerado. Como vem essa vontade, que sentimento se conecta com ela e o que acontece enquanto você está comendo ou quando para de comer, por exemplo. Existem vários elementos que poderão ser trabalhados e a psicoterapia é um processo que poderá lhe auxiliar nessa descoberta.",Compulsão alimentar,Psicólogo,Tratamento
